City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
257,Sibolga,1.74,98.78,87.91,53,76,4.0,ID,broken clouds
258,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
259,Hasaki,35.73,140.83,93.0,63,75,17.22,JP,broken clouds
260,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
261,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
262,Saint-Philippe,-21.36,55.77,69.8,68,67,8.05,RE,broken clouds
263,Saskylakh,71.92,114.08,52.05,55,33,9.78,RU,scattered clouds
264,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
265,Grindavik,63.84,-22.43,46.4,100,90,24.16,IS,light intensity drizzle rain
266,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
267,Hilo,19.73,-155.09,82.4,61,90,8.05,US,overcast clouds
268,Siuna,13.73,-84.78,73.81,94,100,2.8,NI,overcast clouds
269,Miraflores,19.22,-98.81,66.2,55,75,10.29,MX,broken clouds
270,Paamiut,61.99,-49.67,41.49,90,51,19.86,GL,broken clouds
271,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
272,Faanui,-16.48,-151.75,77.61,79,0,10.04,PF,light rain
273,Barrow,71.29,-156.79,37.4,93,75,5.82,US,fog
274,Ankang,32.68,109.02,85.57,52,0,1.41,CN,clear sky
275,Bethel,41.37,-73.41,66.2,82,1,4.61,US,clear sky
276,Khatanga,71.97,102.5,52.9,55,0,4.72,RU,clear sky
277,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
278,Mecca,21.43,39.83,89.37,28,0,2.48,SA,clear sky
279,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
280,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
281,Hasaki,35.73,140.83,93.0,63,75,17.22,JP,broken clouds
282,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
283,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
284,Urengoy,65.97,78.37,51.3,69,71,7.07,RU,broken clouds
285,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
286,Cobija,-11.03,-68.77,80.33,55,100,1.54,BO,overcast clouds
287,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
288,Mahebourg,-20.41,57.7,70.0,93,100,5.99,MU,moderate rain
289,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
290,Aklavik,68.22,-135.01,50.0,61,20,5.82,CA,few clouds
291,Ancud,-41.87,-73.82,41.0,93,8,5.01,CL,clear sky
292,Amga,60.9,131.96,49.37,73,92,7.27,RU,overcast clouds
293,Esperance,-33.87,121.9,60.8,63,75,25.28,AU,broken clouds
294,Luwuk,-0.95,122.79,82.45,76,99,7.7,ID,moderate rain
295,Juneau,58.3,-134.42,57.2,67,75,3.36,US,broken clouds
296,Nikolskoye,59.7,30.79,54.0,81,50,2.24,RU,scattered clouds
297,Barrow,71.29,-156.79,37.4,93,75,5.82,US,fog
298,Panaba,21.28,-88.27,75.74,93,83,5.21,MX,broken clouds
299,Margate,51.38,1.39,61.0,79,40,5.97,GB,scattered clouds
300,Nikolskoye,59.7,30.79,54.0,81,50,2.24,RU,scattered clouds
301,Nikolskoye,59.7,30.79,54.0,81,50,2.24,RU,scattered clouds
302,Hambantota,6.12,81.12,82.4,83,40,10.29,LK,scattered clouds
303,Hasaki,35.73,140.83,93.0,63,75,17.22,JP,broken clouds
304,Carnarvon,-24.87,113.63,66.2,100,90,18.34,AU,overcast clouds
305,Diourbel,14.66,-16.39,77.0,94,75,4.7,SN,broken clouds
306,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
307,Kahului,20.89,-156.47,84.2,54,40,19.46,US,scattered clouds
308,Burhaniye,39.5,26.97,71.6,64,0,14.99,TR,clear sky
309,Nome,64.5,-165.41,53.6,54,90,23.04,US,overcast clouds
310,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
311,Avarua,-21.21,-159.78,68.0,82,39,8.05,CK,light rain
312,Mahebourg,-20.41,57.7,70.0,93,100,5.99,MU,moderate rain
313,Maraba,-5.37,-49.12,77.45,40,17,1.61,BR,few clouds
314,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
315,Kodiak,57.79,-152.41,59.0,87,90,4.7,US,overcast clouds
316,Cabedelo,-6.98,-34.83,69.8,94,33,6.93,BR,light rain
317,Sept-Iles,50.2,-66.38,45.0,93,5,2.24,CA,clear sky
318,Dauriya,49.93,116.87,70.52,44,14,7.36,RU,few clouds
319,Comillas,15.4,120.7,89.6,70,75,11.41,PH,broken clouds
320,Birao,10.28,22.79,70.52,97,100,7.43,CF,light rain
321,Manjeri,11.12,76.12,75.2,94,90,9.17,IN,light rain
322,Kodiak,57.79,-152.41,59.0,87,90,4.7,US,overcast clouds
323,Lavrentiya,65.58,-171.0,43.38,70,99,28.12,RU,overcast clouds
324,Yulara,-25.24,130.99,95.0,8,0,18.34,AU,clear sky
325,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
326,Bluff,-46.6,168.33,52.68,76,17,12.44,NZ,few clouds
327,Hambantota,6.12,81.12,82.4,83,40,10.29,LK,scattered clouds
328,Zambezi,-13.54,23.1,54.43,42,0,6.29,ZM,clear sky
329,Lac-Megantic,45.58,-70.88,46.99,100,35,3.89,CA,scattered clouds
330,Ous,60.91,61.52,54.97,72,42,2.48,RU,scattered clouds
331,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
332,Portland,45.52,-122.68,79.0,48,0,1.01,US,clear sky
333,Tarauaca,-8.16,-70.77,73.78,88,89,1.16,BR,overcast clouds
334,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
335,Cherskiy,68.75,161.3,52.25,47,98,9.15,RU,overcast clouds
336,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
337,Carnarvon,-24.87,113.63,66.2,100,90,18.34,AU,overcast clouds
338,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
339,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
340,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,light rain
341,Lebu,-37.62,-73.65,48.16,88,3,7.85,CL,clear sky
342,Ahtopol,42.1,27.95,64.99,87,0,4.7,BG,clear sky
343,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
344,Ancud,-41.87,-73.82,41.0,93,8,5.01,CL,clear sky
345,Poum,-20.23,164.02,73.45,77,100,11.48,NC,overcast clouds
346,Sharjah,25.36,55.4,89.6,79,0,3.36,AE,clear sky
347,Klaksvik,62.23,-6.59,51.8,100,100,9.17,FO,heavy intensity drizzle
348,Kruisfontein,-34.0,24.73,49.78,94,0,2.59,ZA,clear sky
349,Atar,20.52,-13.05,86.04,46,99,10.65,MR,overcast clouds
350,Kapaa,22.08,-159.32,82.4,74,40,13.87,US,scattered clouds
351,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
352,Nanortalik,60.14,-45.24,44.44,94,100,4.59,GL,overcast clouds
353,Balkhash,46.84,74.98,55.4,35,49,13.42,KZ,scattered clouds
354,Vaini,-21.2,-175.2,75.2,64,75,12.75,TO,broken clouds
355,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
356,Jamestown,42.1,-79.24,64.99,72,40,9.17,US,scattered clouds
357,Waipawa,-41.41,175.52,55.99,71,70,19.46,NZ,light rain
358,Kapaa,22.08,-159.32,82.4,74,40,13.87,US,scattered clouds
359,Alugan,12.22,125.48,86.14,71,100,9.6,PH,light rain
360,Padang,-0.95,100.35,85.69,63,3,4.61,ID,clear sky
361,Hilo,19.73,-155.09,82.4,61,90,8.05,US,overcast clouds
362,Albany,42.6,-73.97,60.01,71,7,3.11,US,clear sky
363,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
364,Kyshtovka,56.55,76.63,44.96,93,100,7.18,RU,light rain
365,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
