City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
691,Lorengau,PG,83.86,light rain,-2.02,147.27,Lorengau Harbourside Hotel
692,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
695,Darnah,LY,76.93,clear sky,32.77,22.64,زاوية الرفاعي
698,Ruteng,ID,77.86,few clouds,-8.61,120.47,Hotel FX72 Ruteng
714,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
716,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
721,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
722,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
729,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
733,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.08,Scoop Guest House
735,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
736,Labuhan,ID,88.48,broken clouds,-6.88,112.21,bador sepret
746,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
749,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
751,Marsaxlokk,MT,78.8,few clouds,35.84,14.54,Water's Edge
756,Karaton,ID,87.8,few clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
757,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
759,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
761,Sola,VU,79.43,broken clouds,-13.88,167.55,Leumerus Bungalows
762,Bilma,NE,86.4,few clouds,18.69,12.92,Expeditions Ténére voyages
766,Tinsukia,IN,80.6,mist,27.5,95.37,Hotel Royal Highness
776,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
787,Tual,ID,81.03,light rain,-5.67,132.75,Grand Vilia Hotel
788,Teknaf,BD,87.39,overcast clouds,20.86,92.31,Magnum Engineering & Construction
789,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
795,Bandarbeyla,SO,76.84,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
801,Accra,GH,75.2,few clouds,5.56,-0.2,Accra City Hotel
807,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
812,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
816,Luancheng,CN,84.2,haze,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
820,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
821,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
823,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
824,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
828,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
831,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
833,Axim,GH,75.27,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
835,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
838,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
845,Birin,NP,77.0,broken clouds,26.89,88.07,HOTEL SURYODAYA
851,Shadegan,IR,84.2,mist,30.65,48.66,ديوانية شيخ عبود الذياب آل سالم
856,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
858,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
859,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
861,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
865,Meulaboh,ID,85.78,few clouds,4.14,96.13,Kost Pria
869,Xinqing,CN,77.7,overcast clouds,48.23,129.5,
870,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
871,Atar,MR,86.04,overcast clouds,20.52,-13.05,Oumou Elghoura
879,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
881,Denpasar,ID,84.2,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
887,Kumluca,TR,80.35,clear sky,36.37,30.29,TurkuazKöy
888,Kavaratti,IN,80.6,haze,10.57,72.64,Hotels in Lakshadweep Islands
889,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
890,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
897,Tessalit,ML,85.69,clear sky,20.2,1.01,
905,Bonthe,SL,75.16,light rain,7.53,-12.51,Bonthe Holiday Village
907,Altamont,US,80.6,clear sky,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
911,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
912,Padang,ID,85.69,clear sky,-0.95,100.35,Mercure Padang
914,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
915,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
917,Saiha,IN,75.74,light rain,22.48,92.97,"Circuit House, Siaha"
932,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
938,Myitkyina,MM,80.94,moderate rain,25.38,97.4,Shwe Phyu Hotel
939,Kavaratti,IN,80.6,haze,10.57,72.64,Hotels in Lakshadweep Islands
941,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
956,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
957,Sola,VU,79.43,broken clouds,-13.88,167.55,Leumerus Bungalows
959,Fare,PF,77.59,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
960,Alappuzha,IN,81.61,moderate rain,9.49,76.33,Panoramic Sea Resort
961,Dingle,PH,88.0,overcast clouds,11.0,122.67,Camp Pasica
